artist,track,album,listeners,playcount,tags,genre,track_id
The Weeknd,Blinding Lights,Now 35,1765302,29314032,"synthpop, synthwave, pop, 2010s, 2019","synthpop, synthwave, pop, 2010s, 2019",
The Weeknd,Starboy,"Now That's What I Call Music, Vol. 61",1660078,22484135,"rnb, pop, MySpotigramBot, electronic, 2010s","rnb, pop, MySpotigramBot, electronic, 2010s",
The Weeknd,The Hills,Beauty Behind the Madness,1532457,18595801,"rnb, electronic, dark, r&b, trap","rnb, electronic, dark, r&b, trap",
The Weeknd,Die For You,Unknown,1381965,22518080,"rnb, MySpotigramBot, synthpop, electropop, pop","rnb, MySpotigramBot, synthpop, electropop, pop",
The Weeknd,Can't Feel My Face,Beauty Behind the Madness,1366148,13084315,"rnb, love at first listen, r&b, Disco, pop","rnb, love at first listen, r&b, Disco, pop",
The Weeknd,Save Your Tears,Hit Connection 2021.1,1331919,19614399,"synthpop, pop, rnb, MySpotigramBot, synthwave","synthpop, pop, rnb, MySpotigramBot, synthwave",
The Weeknd,Stargirl Interlude,Unknown,1307873,25561090,"MySpotigramBot, Lana Del Rey, trip hop, interlude, art pop","MySpotigramBot, Lana Del Rey, trip hop, interlude, art pop",
The Weeknd,Call Out My Name,"My Dear Melancholy,",1111075,14212174,"rnb, soul, Canadian, MySpotigramBot, r&b","rnb, soul, Canadian, MySpotigramBot, r&b",
The Weeknd,I Feel It Coming,I Feel It Coming,1052458,10973934,"rnb, pop, Disco, MySpotigramBot, Daft Punk","rnb, pop, Disco, MySpotigramBot, Daft Punk",
The Weeknd,Heartless,The Highlights,955857,14551956,"trap, rap, The Weeknd, MySpotigramBot, rnb","trap, rap, The Weeknd, MySpotigramBot, rnb",
sekai,Sefirot,enigma,7596,50209,"vocal, sad, melancholy, dramatic, steady","vocal, sad, melancholy, dramatic, steady",
Esteban,Segunda-Feira,¡Adios Esteban!,23848,288525,"indie, argentina, gaucho","indie, argentina, gaucho",
Esteban,Pianinho,"¡Adiós, Esteban!",20538,304114,"indie, rock, romantic, melancholy, brazilian","indie, rock, romantic, melancholy, brazilian",
Esteban,Sophia,¡Adios Esteban!,17588,259447,"alternative, brazilian, indie, Sophia, gaucho","alternative, brazilian, indie, Sophia, gaucho",
Esteban,Canal 12,¡Adios Esteban!,16091,244136,"indie, folk, over 5 minutes long, Tavares, esteban","indie, folk, over 5 minutes long, Tavares, esteban",
Esteban,Muda,¡Adios Esteban!,15832,244300,"esteban, rock, emo, trance, pop","esteban, rock, emo, trance, pop",
Esteban,Visita,¡Adios Esteban!,12853,165891,"indie, alternative rock, folk, esteban","indie, alternative rock, folk, esteban",
Esteban,Cigarros e Capitais,Saca La Muerte De Tu Vida,12324,111938,"brasil, Romantica, cantar junto, sei a letra","brasil, Romantica, cantar junto, sei a letra",
Esteban,Sua canção,Unknown,11629,142027,"esteban, eu so quero ser feliz","esteban, eu so quero ser feliz",
Esteban,Sinto Muito Blues,"¡Adiós, Esteban!",11529,135612,"alternative, blues, humberto gessinger","alternative, blues, humberto gessinger",
Esteban,Muito Além do Sofá,"¡Adiós, Esteban!",11019,143423,"esteban, fav","esteban, fav",
Adele,Rolling in the Deep,21,2125364,21216149,"soul, Adele, female vocalists, pop, british","soul, Adele, female vocalists, pop, british",
Adele,Someone Like You,21,1727043,16510356,"Adele, soul, piano, british, female vocals","Adele, soul, piano, british, female vocals",
Adele,Set Fire to the Rain,21,1614480,16475381,"soul, Adele, female vocalists, pop, british","soul, Adele, female vocalists, pop, british",
Adele,Chasing Pavements,19,1318686,10208820,"female vocalists, soul, pop, british, singer-songwriter","female vocalists, soul, pop, british, singer-songwriter",
Adele,Make You Feel My Love,19,1089134,8070253,"female vocalists, soul, Adele, british, piano","female vocalists, soul, Adele, british, piano",
Adele,Rumour Has It,21,984707,7477584,"soul, pop, female vocalists, Adele, british","soul, pop, female vocalists, Adele, british",
Adele,Skyfall,Film Music 2012,872110,8206188,"Soundtrack, pop, james bond, female vocalists, Adele","Soundtrack, pop, james bond, female vocalists, Adele",
Adele,Hello,25,839132,7573294,"soul, pop, 2015, british, female vocalists","soul, pop, 2015, british, female vocalists",
Adele,Easy On ME,Unknown,824083,9474034,"2021, pop, Adele, soul, piano","2021, pop, Adele, soul, piano",
Adele,Turning Tables,21,796909,6131359,"soul, Adele, pop, female vocalists, piano","soul, Adele, pop, female vocalists, piano",
Dua Lipa,doN'T StArT nOw,Unknown,1175260,19054234,"pop, Disco, nu-disco, dance, dance-pop","pop, Disco, nu-disco, dance, dance-pop",
Dua Lipa,Levitating (feat. DaBaby),"Now That's What I Call Music, Vol. 77",992192,11223351,"pop, Disco, nu-disco, 2020, DaBaby","pop, Disco, nu-disco, 2020, DaBaby",
Dua Lipa,New Rules,Dua Lipa (Deluxe),959970,10178429,"pop, dance, 2017, electropop, 2010s","pop, dance, 2017, electropop, 2010s",
Dua Lipa,Levitating,Future Nostalgia (édition française),914990,13102845,"pop, nu-disco, dance-pop, Disco, dance","pop, nu-disco, dance-pop, Disco, dance",
Dua Lipa,Break My Heart,Just Hits,849286,11680450,"Disco, pop, dance-pop, dance, nu-disco","Disco, pop, dance-pop, dance, nu-disco",
Dua Lipa,Physical,Physical,788434,14741856,"synthpop, pop, dance, dance-pop, electropop","synthpop, pop, dance, dance-pop, electropop",
Dua Lipa,IDGAF,Dua Lipa (Deluxe),719247,7049732,"pop, dance, dance-pop, electronic, british","pop, dance, dance-pop, electronic, british",
Dua Lipa,Houdini,Houdini,657361,11061348,"pop, synthpop, Disco, psychedelic pop, nu-disco","pop, synthpop, Disco, psychedelic pop, nu-disco",
Dua Lipa,lOVe AgaIN,Unknown,618513,8585372,"pop, nu-disco, Disco, dance-pop, boogie","pop, nu-disco, Disco, dance-pop, boogie",
Dua Lipa,Dance The Night - From Barbie The Album,Dance The Night -From Barbie The Album,596760,4384514,"electropop, pop, dance-pop, bubble gum pop, my music discovery","electropop, pop, dance-pop, bubble gum pop, my music discovery",
Hakos Baelz,Play Dice!,Play Dice! - Single,8404,164360,hololive,hololive,
Hakos Baelz,PSYCHO,PSYCHO,7733,143401,hololive,hololive,
Hakos Baelz,MESS,Pandæmonium,2516,36130,"electronic, hololive","electronic, hololive",
Hakos Baelz,BOOM,Pandæmonium,2094,26306,hololive,hololive,
Hakos Baelz,R×R×R,ZODIAC,2091,26259,hololive,hololive,
Hakos Baelz,BITE! カム! BITE!,Unknown,1869,18188,,,
Hakos Baelz,DROWN,Pandæmonium,1725,24722,hololive,hololive,
Hakos Baelz,La Roja,ZODIAC,1530,16878,hololive,hololive,
Hakos Baelz,HIDE & SEEK 〜なかよくケンカしな！〜,Unknown,1485,11628,,,
Hakos Baelz,The Fight Song,ZODIAC,1196,10682,hololive,hololive,
Hakos Baelz,GEKIRIN,ZODIAC,1163,10935,hololive,hololive,
Hakos Baelz,RIDE,ZODIAC,1033,9061,hololive,hololive,
Hakos Baelz,Play Dice! (TeddyLoid Re-Arrangement),Play Dice! (TeddyLoid Re-Arrangement) - Single,1032,6742,,,
Hakos Baelz,818,ZODIAC,1027,9042,hololive,hololive,
Hakos Baelz,COLOUR,Unknown,956,6265,,,
Hakos Baelz,Gimme More,Unknown,946,7364,hololive,hololive,
Hakos Baelz,Ohayo-EST Gozai-MASTER ♡,ZODIAC,935,8288,,,
Hakos Baelz,EIEN,ZODIAC,909,9268,hololive,hololive,
Hakos Baelz,PSYCHO - Instrumental,Unknown,813,3916,,,
Hakos Baelz,この世を照らすもの,ZODIAC,789,6297,,,
Hakos Baelz,Play Dice! - Midnight ver.,Unknown,551,3837,,,
